Frequency,Elevation,Azimuth
11000000.0,22,91
11000000.0,24,87
11000000.0,24,88
11000000.0,24,89
11000000.0,24,90
11000000.0,24,91
11000000.0,26,87
11000000.0,26,88
11000000.0,26,89
11000000.0,26,90
11000000.0,26,91
11000000.0,28,87
11000000.0,28,88
11000000.0,28,89
11000000.0,28,90
11000000.0,28,91
11000000.0,30,87
11000000.0,30,88
11000000.0,30,89
11000000.0,30,90
11000000.0,30,91
11000000.0,32,87
11000000.0,32,88
11000000.0,32,89
11000000.0,32,90
11000000.0,32,91
11000000.0,34,87
11000000.0,34,88
11000000.0,34,89
11000000.0,34,90
11000000.0,34,91
11000000.0,36,87
11000000.0,36,88
11000000.0,36,89
11000000.0,36,90
11000000.0,36,91
11000000.0,38,87
11000000.0,38,88
11000000.0,38,89
11000000.0,38,90
11000000.0,38,91
11000000.0,40,87
11000000.0,40,88
11000000.0,40,89
11000000.0,40,90
11000000.0,40,91
12000000.0,0,87
12000000.0,0,88
12000000.0,0,89
12000000.0,0,90
12000000.0,0,91
12000000.0,2,87
12000000.0,2,88
12000000.0,2,89
12000000.0,2,90
12000000.0,2,91
12000000.0,4,87
12000000.0,4,88
12000000.0,4,89
12000000.0,4,90
12000000.0,4,91
12000000.0,6,87
12000000.0,6,88
12000000.0,6,89
12000000.0,6,90
12000000.0,6,91
12000000.0,8,87
12000000.0,8,88
12000000.0,8,89
12000000.0,8,90
12000000.0,8,91
12000000.0,10,87
12000000.0,10,88
12000000.0,10,89
12000000.0,10,90
12000000.0,10,91
12000000.0,12,87
12000000.0,12,88
12000000.0,12,89
12000000.0,12,90
12000000.0,12,91
12000000.0,14,87
12000000.0,14,88
12000000.0,14,89
12000000.0,14,90
12000000.0,14,91
12000000.0,16,87
12000000.0,16,88
12000000.0,16,89
12000000.0,16,90
12000000.0,16,91
12000000.0,18,87
12000000.0,18,88
12000000.0,18,89
12000000.0,18,90
12000000.0,18,91
12000000.0,20,87
12000000.0,20,88
12000000.0,20,89
12000000.0,20,90
12000000.0,20,91
12000000.0,22,87
12000000.0,22,88
12000000.0,22,89
12000000.0,22,90
12000000.0,22,91
12000000.0,24,87
12000000.0,24,88
12000000.0,24,89
12000000.0,24,90
12000000.0,24,91
12000000.0,26,87
12000000.0,26,88
12000000.0,26,89
12000000.0,26,90
12000000.0,26,91
12000000.0,28,87
12000000.0,28,88
12000000.0,28,89
12000000.0,28,90
12000000.0,28,91
12000000.0,30,87
12000000.0,30,88
12000000.0,30,89
12000000.0,30,90
12000000.0,30,91
12000000.0,32,87
12000000.0,32,88
12000000.0,32,89
12000000.0,32,90
12000000.0,32,91
12000000.0,34,87
12000000.0,34,88
12000000.0,34,89
12000000.0,34,90
12000000.0,34,91
12000000.0,36,87
12000000.0,36,88
12000000.0,36,89
12000000.0,36,90
12000000.0,36,91
12000000.0,38,87
12000000.0,38,88
12000000.0,38,89
12000000.0,38,90
12000000.0,38,91
12000000.0,40,87
12000000.0,40,88
12000000.0,40,89
12000000.0,40,90
12000000.0,40,91
13000000.0,0,87
13000000.0,0,88
13000000.0,0,89
13000000.0,0,90
13000000.0,0,91
13000000.0,2,87
13000000.0,2,88
13000000.0,2,89
13000000.0,2,90
13000000.0,2,91
13000000.0,4,87
13000000.0,4,88
13000000.0,4,89
13000000.0,4,90
13000000.0,4,91
13000000.0,6,87
13000000.0,6,88
13000000.0,6,89
13000000.0,6,90
13000000.0,6,91
13000000.0,8,87
13000000.0,8,88
13000000.0,8,89
13000000.0,8,90
13000000.0,8,91
13000000.0,10,87
13000000.0,10,88
13000000.0,10,89
13000000.0,10,90
13000000.0,10,91
13000000.0,12,87
13000000.0,12,88
13000000.0,12,89
13000000.0,12,90
13000000.0,12,91
13000000.0,14,87
13000000.0,14,88
13000000.0,14,89
13000000.0,14,90
13000000.0,14,91
13000000.0,16,87
13000000.0,16,88
13000000.0,16,89
13000000.0,16,90
13000000.0,16,91
13000000.0,18,87
13000000.0,18,88
13000000.0,18,89
13000000.0,18,90
13000000.0,18,91
13000000.0,20,87
13000000.0,20,88
13000000.0,20,89
13000000.0,20,90
13000000.0,20,91
13000000.0,22,87
13000000.0,22,88
13000000.0,22,89
13000000.0,22,90
13000000.0,22,91
13000000.0,24,87
13000000.0,24,88
13000000.0,24,89
13000000.0,24,90
13000000.0,24,91
13000000.0,26,87
13000000.0,26,88
13000000.0,26,89
13000000.0,26,90
13000000.0,26,91
13000000.0,28,87
13000000.0,28,88
13000000.0,28,89
13000000.0,28,90
13000000.0,28,91
13000000.0,30,87
13000000.0,30,88
13000000.0,30,89
13000000.0,30,90
13000000.0,30,91
13000000.0,32,87
13000000.0,32,88
13000000.0,32,89
13000000.0,32,90
13000000.0,32,91
13000000.0,34,87
13000000.0,34,88
13000000.0,34,89
13000000.0,34,90
13000000.0,34,91
13000000.0,36,87
13000000.0,36,88
13000000.0,36,89
13000000.0,36,90
13000000.0,36,91
13000000.0,38,87
13000000.0,38,88
13000000.0,38,89
13000000.0,38,90
13000000.0,38,91
13000000.0,40,87
13000000.0,40,88
13000000.0,40,89
13000000.0,40,90
13000000.0,40,91
14000000.0,0,87
14000000.0,0,88
14000000.0,0,89
14000000.0,0,90
14000000.0,0,91
14000000.0,2,87
14000000.0,2,88
14000000.0,2,89
14000000.0,2,90
14000000.0,2,91
14000000.0,4,87
14000000.0,4,88
14000000.0,4,89
14000000.0,4,90
14000000.0,4,91
14000000.0,6,87
14000000.0,6,88
14000000.0,6,89
14000000.0,6,90
14000000.0,6,91
14000000.0,8,87
14000000.0,8,88
14000000.0,8,89
14000000.0,8,90
14000000.0,8,91
14000000.0,10,87
14000000.0,10,88
14000000.0,10,89
14000000.0,10,90
14000000.0,10,91
14000000.0,12,87
14000000.0,12,88
14000000.0,12,89
14000000.0,12,90
14000000.0,12,91
14000000.0,14,87
14000000.0,14,88
14000000.0,14,89
14000000.0,14,90
14000000.0,14,91
14000000.0,16,87
14000000.0,16,88
14000000.0,16,89
14000000.0,16,90
14000000.0,16,91
14000000.0,18,87
14000000.0,18,88
14000000.0,18,89
14000000.0,18,90
14000000.0,18,91
14000000.0,20,87
14000000.0,20,88
14000000.0,20,89
14000000.0,20,90
14000000.0,20,91
14000000.0,22,87
14000000.0,22,88
14000000.0,22,89
14000000.0,22,90
14000000.0,22,91
14000000.0,24,87
14000000.0,24,88
14000000.0,24,89
14000000.0,24,90
14000000.0,24,91
14000000.0,26,87
14000000.0,26,88
14000000.0,26,89
14000000.0,26,90
14000000.0,26,91
14000000.0,28,87
14000000.0,28,88
14000000.0,28,89
14000000.0,28,90
14000000.0,28,91
14000000.0,30,87
14000000.0,30,88
14000000.0,30,89
14000000.0,30,90
14000000.0,30,91
14000000.0,32,87
14000000.0,32,88
14000000.0,32,89
14000000.0,32,90
14000000.0,32,91
14000000.0,34,87
14000000.0,34,88
14000000.0,34,89
14000000.0,34,90
14000000.0,34,91
14000000.0,36,87
14000000.0,36,88
14000000.0,36,89
14000000.0,36,90
14000000.0,36,91
14000000.0,38,87
14000000.0,38,88
14000000.0,38,89
14000000.0,38,90
14000000.0,38,91
14000000.0,40,87
14000000.0,40,88
14000000.0,40,89
14000000.0,40,90
14000000.0,40,91
15000000.0,0,87
15000000.0,0,88
15000000.0,0,89
15000000.0,0,90
15000000.0,0,91
15000000.0,2,87
15000000.0,2,88
15000000.0,2,89
15000000.0,2,90
15000000.0,2,91
15000000.0,4,87
15000000.0,4,88
15000000.0,4,89
15000000.0,4,90
15000000.0,4,91
15000000.0,6,87
15000000.0,6,88
15000000.0,6,89
15000000.0,6,90
15000000.0,6,91
15000000.0,8,87
15000000.0,8,88
15000000.0,8,89
15000000.0,8,90
15000000.0,8,91
15000000.0,10,87
15000000.0,10,88
15000000.0,10,89
15000000.0,10,90
15000000.0,10,91
15000000.0,12,87
15000000.0,12,88
15000000.0,12,89
15000000.0,12,90
15000000.0,12,91
15000000.0,14,87
15000000.0,14,88
15000000.0,14,89
15000000.0,14,90
15000000.0,14,91
15000000.0,16,87
15000000.0,16,88
15000000.0,16,89
15000000.0,16,90
15000000.0,16,91
15000000.0,18,87
15000000.0,18,88
15000000.0,18,89
15000000.0,18,90
15000000.0,18,91
15000000.0,20,87
15000000.0,20,88
15000000.0,20,89
15000000.0,20,90
15000000.0,20,91
15000000.0,22,87
15000000.0,22,88
15000000.0,22,89
15000000.0,22,90
15000000.0,22,91
15000000.0,24,87
15000000.0,24,88
15000000.0,24,89
15000000.0,24,90
15000000.0,24,91
15000000.0,26,87
15000000.0,26,88
15000000.0,26,89
15000000.0,26,90
15000000.0,26,91
15000000.0,28,87
15000000.0,28,88
15000000.0,28,89
15000000.0,28,90
15000000.0,28,91
15000000.0,30,87
15000000.0,30,88
15000000.0,30,89
15000000.0,30,90
15000000.0,30,91
15000000.0,32,87
15000000.0,32,88
15000000.0,32,89
15000000.0,32,90
15000000.0,32,91
15000000.0,34,87
15000000.0,34,88
15000000.0,34,89
15000000.0,34,90
15000000.0,34,91
15000000.0,36,87
15000000.0,36,88
15000000.0,36,89
15000000.0,36,90
15000000.0,36,91
15000000.0,38,87
15000000.0,38,88
15000000.0,38,89
15000000.0,38,90
15000000.0,38,91
15000000.0,40,87
15000000.0,40,88
15000000.0,40,89
15000000.0,40,90
15000000.0,40,91
16000000.0,0,87
16000000.0,0,88
16000000.0,0,89
16000000.0,0,90
16000000.0,0,91
16000000.0,2,87
16000000.0,2,88
16000000.0,2,89
16000000.0,2,90
16000000.0,2,91
16000000.0,4,87
16000000.0,4,88
16000000.0,4,89
16000000.0,4,90
16000000.0,4,91
16000000.0,6,87
16000000.0,6,88
16000000.0,6,89
16000000.0,6,90
16000000.0,6,91
16000000.0,8,87
16000000.0,8,88
16000000.0,8,89
16000000.0,8,90
16000000.0,8,91
16000000.0,10,87
